Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2019-06-02,7,6,7,7,8,7,8,9,6,4,0,7,7,8,8,8,13,8,6,9,0,10,7,5,9,12,9,8,8,4,5,6,7,8,7,8,8,7,6,6,7,8,4,7,8,8,9,9,7,8
2019-06-09,8,5,8,6,8,6,8,10,7,11,8,7,9,9,9,7,10,10,6,3,13,7,8,0,9,7,11,10,8,9,9,4,8,7,7,5,7,5,6,4,6,8,8,7,7,9,10,10,9,5
2019-06-16,7,5,9,7,8,5,12,6,9,6,7,7,8,8,10,8,11,7,5,6,8,10,8,5,7,5,16,9,8,7,9,10,10,7,8,10,10,7,6,10,12,6,6,3,8,8,9,8,5,7
2019-06-23,7,8,9,8,11,5,7,14,9,6,8,7,7,4,9,10,9,9,6,9,5,10,7,0,7,4,18,10,8,7,7,4,9,7,8,4,7,7,7,4,7,8,8,0,7,6,5,12,9,7
2019-06-30,5,2,7,6,6,7,7,6,4,8,8,7,7,4,8,7,13,8,6,3,7,8,6,7,9,9,7,7,7,6,7,0,6,7,7,6,9,5,7,7,6,4,7,6,7,6,7,10,7,7
2019-07-07,8,5,9,8,8,6,7,6,6,5,3,7,6,7,8,6,11,10,7,9,7,7,8,16,9,12,10,9,9,10,9,19,9,7,7,9,10,7,7,6,7,6,0,5,7,10,7,12,7,8
2019-07-14,7,6,7,7,12,7,10,10,7,6,6,7,6,6,8,7,9,10,6,4,0,10,8,6,7,8,11,8,9,6,5,7,7,7,7,6,8,6,7,5,6,7,7,6,8,8,9,12,9,6
2019-07-21,9,9,10,8,8,6,8,0,10,4,7,7,7,8,10,4,10,8,3,6,6,8,9,10,7,6,12,9,8,6,7,9,8,7,9,6,10,7,7,7,9,3,14,10,6,6,9,10,6,9
2019-07-28,9,4,9,8,10,7,10,7,2,10,7,7,9,6,10,4,11,10,4,13,14,9,8,9,8,5,12,8,7,5,6,8,8,8,8,4,9,8,6,6,7,5,7,8,9,10,4,9,11,8
2019-08-04,5,10,7,8,9,6,8,5,5,4,6,7,7,6,9,5,9,9,13,5,9,9,7,8,10,0,16,8,9,8,8,10,7,8,7,12,10,7,6,11,9,6,11,8,6,10,8,11,10,7
