Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2019-06-02,71,54,81,76,69,67,70,55,40,63,61,67,70,77,62,67,66,36,55,72,76,70,72,55,74,48,61,78,73,70,61,77,75,49,71,80,85,73,69,73,55,45,70,72,49,71,82,65,79,53
2019-06-09,79,75,75,74,69,81,74,55,41,66,63,50,71,84,67,80,79,46,54,71,77,71,61,67,72,77,57,87,68,76,56,74,74,47,81,78,77,81,67,72,50,45,70,64,45,72,78,75,71,57
2019-06-16,81,16,80,64,70,71,68,51,38,69,74,64,70,71,82,70,82,50,64,85,79,72,78,66,71,85,51,81,54,72,53,68,79,68,81,73,76,77,81,69,56,48,72,75,32,69,77,85,77,44
2019-06-23,85,53,87,65,74,78,80,72,41,63,65,71,69,82,72,74,79,56,68,85,80,70,76,62,86,59,60,84,76,76,60,78,74,49,74,76,82,80,74,62,70,48,74,76,45,70,80,70,83,54
2019-06-30,72,42,74,66,71,88,70,55,39,66,51,64,71,71,61,81,69,50,59,64,73,66,67,51,80,67,56,81,62,70,48,72,74,56,69,68,81,83,46,57,51,49,71,84,63,62,78,77,74,48
2019-07-07,76,67,96,72,81,76,71,54,38,68,50,80,69,82,78,78,73,42,65,75,80,70,74,60,83,73,49,87,77,73,53,81,84,40,78,83,83,83,66,69,56,48,74,74,60,72,81,59,82,52
2019-07-14,84,29,84,81,76,74,82,58,39,67,58,79,72,71,79,74,74,47,69,87,72,67,72,70,75,48,52,83,74,65,66,78,79,59,76,78,83,94,57,71,46,49,73,77,49,73,76,81,75,68
2019-07-21,99,42,83,71,79,78,82,72,41,67,73,80,75,80,59,77,79,39,84,87,79,76,79,55,78,50,60,81,77,77,75,76,80,64,86,81,85,85,71,68,58,50,76,79,53,78,81,83,78,57
2019-07-28,77,66,86,61,77,74,75,59,40,70,70,78,69,77,66,75,87,49,58,82,79,74,77,59,82,64,63,88,58,77,67,80,75,46,79,83,89,86,75,71,75,49,73,74,47,72,81,69,76,26
2019-08-04,81,44,84,64,77,75,82,69,39,66,75,59,75,76,93,75,76,52,55,89,80,72,71,60,72,54,52,75,68,75,60,75,79,50,85,79,90,94,57,72,74,50,75,88,49,73,76,80,77,57
2019-08-11,90,64,91,66,77,84,89,50,40,63,52,67,80,76,78,71,88,51,65,81,83,74,68,70,81,49,61,85,76,74,62,78,78,75,80,83,74,82,62,71,43,49,75,80,41,74,87,73,83,46
2019-08-18,88,49,83,63,72,82,79,61,41,68,66,74,82,86,81,71,78,50,76,77,74,71,69,64,75,48,60,74,63,74,59,76,84,60,80,82,84,82,89,80,76,52,79,88,51,70,77,78,77,31
2019-08-25,66,31,84,66,75,84,85,73,36,61,59,64,70,71,70,64,80,45,64,82,80,74,75,65,73,65,52,79,61,69,54,77,80,52,79,87,82,88,74,73,78,46,73,66,46,73,80,80,80,40
2019-09-01,73,43,82,66,73,75,75,72,34,58,73,66,66,81,77,65,70,49,77,78,83,80,69,60,79,58,54,76,80,79,63,74,75,71,80,74,73,88,77,57,72,45,74,65,71,70,80,90,73,59
