Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2019-06-02,69,63,69,71,68,66,64,74,50,66,67,76,70,69,73,58,73,74,67,71,59,75,67,65,78,75,61,65,73,64,66,67,73,63,68,68,67,71,64,68,74,61,61,72,66,74,82,67,65,74
2019-06-09,74,63,72,68,70,70,65,58,82,69,80,68,71,66,70,66,66,77,64,64,62,74,67,59,75,70,73,67,75,62,81,71,74,63,72,58,70,73,66,70,73,63,68,71,66,74,67,67,69,68
2019-06-16,76,72,72,67,68,70,66,66,78,74,62,78,71,64,68,68,69,73,66,54,56,76,71,67,74,60,71,68,75,60,82,60,77,69,73,69,62,74,66,75,72,66,74,63,66,78,57,72,69,65
2019-06-23,77,66,74,66,69,71,69,56,70,63,69,70,73,67,65,76,73,73,82,45,66,70,78,69,77,67,56,62,77,65,77,61,73,69,73,66,63,71,71,75,66,64,72,60,64,65,82,75,69,68
2019-06-30,67,57,60,53,59,60,56,67,58,54,59,67,65,57,61,56,70,59,61,61,47,69,65,52,62,57,59,55,64,58,56,54,66,59,55,58,56,60,60,61,71,54,61,51,56,57,61,64,59,62
2019-07-07,78,71,69,66,74,67,65,62,71,80,70,89,74,69,68,70,79,70,60,57,76,73,71,53,76,62,84,63,74,70,76,64,80,65,72,60,74,74,64,63,68,64,74,69,66,73,68,69,61,69
2019-07-14,76,60,74,64,73,71,66,69,68,65,67,72,71,61,73,73,70,76,68,50,58,76,75,69,76,71,54,65,76,70,69,75,67,65,70,60,66,73,66,74,70,59,62,58,66,77,75,68,70,66
2019-07-21,76,72,71,69,74,72,67,64,59,70,66,78,70,74,71,75,70,76,66,60,56,69,72,60,73,72,53,62,77,53,79,59,70,67,69,60,67,73,68,70,75,60,65,59,70,77,62,69,56,70
2019-07-28,75,72,76,70,68,68,64,68,62,60,66,74,72,65,72,63,71,72,60,60,89,68,69,56,73,66,70,64,74,66,76,54,66,66,70,70,64,75,68,75,77,64,60,62,64,80,60,67,62,73
2019-08-04,72,72,78,64,71,70,64,56,60,69,60,79,73,67,68,66,66,72,66,64,77,76,73,58,81,67,62,71,73,63,80,62,81,72,68,64,69,69,67,63,62,57,80,74,67,70,69,74,67,68
2019-08-11,73,71,75,69,72,76,70,72,62,69,62,79,68,74,66,71,73,73,68,69,77,84,77,87,74,65,92,70,77,60,79,77,77,66,67,64,70,68,68,75,72,64,60,66,67,72,58,68,65,67
2019-08-18,81,69,75,70,65,66,69,80,75,88,71,73,70,71,72,77,66,71,70,65,84,78,77,53,74,78,59,65,77,65,79,64,79,67,73,57,71,79,68,72,67,69,67,74,67,78,68,72,65,71
2019-08-25,78,70,74,69,70,66,72,64,75,70,62,73,69,59,74,62,76,70,58,56,86,78,70,71,77,65,63,65,75,69,82,70,67,64,70,57,64,76,58,81,67,62,72,61,72,69,72,69,69,67
2019-09-01,58,60,68,62,60,68,62,62,74,70,65,75,66,59,69,63,68,70,57,56,73,69,68,56,66,55,76,58,75,58,65,65,73,66,69,68,66,75,58,69,69,59,63,55,67,74,74,70,62,69
2019-09-08,77,68,77,65,76,72,70,84,67,74,70,76,81,71,71,73,77,74,72,73,72,78,73,82,83,85,71,66,76,59,76,74,76,69,71,60,74,78,69,72,76,66,78,66,71,81,77,79,73,68
2019-09-15,70,66,80,68,71,75,70,72,65,79,73,85,78,73,73,67,67,75,77,78,69,81,69,69,78,78,67,67,77,69,76,70,82,67,70,71,70,76,69,83,73,73,62,67,75,75,79,77,68,74
2019-09-22,70,66,76,75,77,75,69,59,79,73,69,80,73,66,71,73,74,73,78,86,73,79,72,76,75,69,81,68,73,72,82,86,78,68,72,73,68,79,69,66,71,63,69,70,75,74,84,67,70,71
2019-09-29,76,64,81,77,81,79,70,68,79,78,72,91,75,66,78,76,77,78,78,68,81,88,68,57,87,70,62,73,81,63,77,66,80,69,73,85,79,81,73,84,70,65,76,67,77,77,81,70,71,73
2019-10-06,77,67,82,69,75,73,78,69,78,58,68,81,73,78,75,75,76,78,76,62,78,78,70,71,83,74,69,69,84,63,78,73,78,68,70,72,70,76,68,79,67,74,65,71,72,74,63,85,79,74
2019-10-13,76,73,75,72,75,73,70,57,70,76,70,76,71,67,72,73,70,78,67,65,78,81,68,71,77,70,73,74,83,100,80,64,81,67,72,68,77,75,69,72,77,58,84,71,73,75,79,73,79,70
2019-10-20,77,60,81,73,72,77,72,82,86,66,66,76,72,70,76,73,75,76,67,76,85,79,69,53,87,82,90,76,80,79,76,65,77,64,74,61,76,79,65,75,71,64,60,75,74,71,67,78,74,66
2019-10-27,67,62,80,69,73,76,66,78,81,65,66,77,70,66,70,68,76,74,72,58,79,72,73,63,73,79,68,72,76,65,74,54,79,63,70,66,65,78,68,62,75,73,73,62,69,85,75,76,67,68
2019-11-03,81,77,81,75,76,78,72,82,74,73,63,80,76,70,75,83,80,78,83,68,77,85,72,71,83,81,79,76,77,66,78,71,78,68,73,67,74,79,66,74,73,64,77,66,73,72,84,79,68,71
2019-11-10,76,77,79,70,78,75,72,77,75,66,72,80,77,71,78,76,85,82,59,67,65,75,69,74,75,66,63,73,86,65,77,81,77,67,72,66,74,85,71,76,72,63,67,75,72,80,85,76,79,70
2019-11-17,70,64,85,76,81,77,75,73,81,74,74,78,72,72,78,78,78,80,84,75,81,84,65,78,79,63,58,71,81,69,77,77,74,69,75,73,76,78,70,77,74,64,66,66,77,83,79,80,79,69
2019-11-24,57,54,66,53,65,57,61,67,58,45,46,65,57,47,56,52,61,61,48,49,61,61,58,54,60,52,62,57,60,54,54,54,54,51,52,56,53,65,52,55,49,49,45,52,57,57,41,56,54,52
