Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2019-06-02,21,17,22,22,22,27,16,25,12,22,10,13,23,24,22,23,23,13,13,20,24,18,18,47,23,18,15,26,18,21,22,23,19,23,23,23,24,25,17,20,12,13,21,25,8,21,21,24,25,8
2019-06-09,27,0,20,19,19,25,22,0,12,20,49,20,21,23,21,17,22,16,20,17,23,17,17,23,22,14,16,21,23,24,16,21,25,7,19,19,31,22,19,23,27,17,20,20,6,25,27,19,23,22
2019-06-16,31,13,20,21,21,32,14,54,13,22,17,16,24,22,29,17,20,11,18,23,22,21,21,6,17,24,15,22,31,22,18,22,25,13,20,22,29,25,23,26,20,16,21,23,16,20,27,16,21,13
2019-06-23,33,14,22,20,22,58,21,45,12,22,15,8,24,22,28,25,17,13,7,20,19,15,21,14,23,19,13,23,14,21,15,22,24,6,21,27,28,23,10,20,19,17,22,23,21,21,23,26,24,0
2019-06-30,27,20,20,21,20,49,21,16,11,21,22,29,23,22,22,25,19,11,20,22,21,19,18,16,18,21,16,20,25,19,20,19,24,0,22,18,28,22,25,20,23,15,24,19,7,19,22,25,22,10
2019-07-07,23,0,22,22,22,30,21,23,11,22,17,20,22,24,21,19,16,14,21,22,20,20,16,28,22,21,20,25,13,21,16,20,27,8,23,26,23,23,8,22,17,13,21,22,13,21,28,19,25,29
2019-07-14,21,8,18,19,21,28,18,28,11,21,10,21,21,19,24,17,22,14,16,16,16,16,20,10,22,14,18,22,33,21,17,21,22,14,25,23,26,23,21,24,16,16,20,24,24,23,22,27,19,12
2019-07-21,24,15,24,22,19,24,14,14,11,23,18,36,20,21,20,19,14,14,22,21,21,18,20,20,21,18,20,26,14,18,9,17,23,8,23,22,20,24,18,20,25,16,23,25,22,23,21,26,25,30
2019-07-28,30,0,20,24,22,25,18,17,14,22,15,20,23,20,17,20,23,12,15,19,22,21,18,16,22,8,17,18,20,20,14,22,23,16,22,27,22,22,19,22,26,15,20,28,14,21,21,19,21,0
2019-08-04,25,0,28,25,25,25,24,11,14,23,19,20,25,25,15,16,20,15,14,22,24,21,21,28,26,19,13,24,22,23,13,25,25,23,21,22,21,25,20,21,17,16,24,22,16,22,27,18,16,0
2019-08-11,25,23,24,18,21,27,18,22,12,17,19,36,20,22,23,24,20,13,14,20,20,22,18,15,20,15,16,26,13,25,14,21,22,17,24,24,18,24,14,23,51,15,22,22,20,23,25,25,20,26
2019-08-18,34,19,20,18,22,24,20,19,12,19,19,20,20,22,23,19,16,12,23,23,19,19,21,24,22,17,20,28,17,22,14,21,23,13,19,15,21,24,23,23,8,19,20,24,10,19,26,25,20,9
2019-08-25,26,7,21,21,22,30,18,23,11,22,10,11,18,20,22,24,15,13,31,22,19,20,16,25,26,9,20,26,15,18,20,23,25,7,20,21,26,23,10,20,23,17,23,23,14,20,21,24,22,32
2019-09-01,25,33,19,20,21,21,16,9,12,19,21,14,23,23,29,19,17,13,18,17,22,20,19,19,21,15,13,24,23,17,20,19,23,0,22,20,28,24,0,18,17,13,22,23,23,19,23,29,20,18
2019-09-08,24,9,24,19,20,23,19,20,11,22,21,21,21,28,33,15,21,9,17,20,23,21,19,19,25,28,16,16,19,20,21,22,24,7,23,20,20,23,11,19,18,15,21,20,0,21,24,19,23,7
2019-09-15,21,23,21,22,20,24,15,20,10,22,17,15,22,26,24,24,18,14,13,18,22,18,21,13,20,22,18,23,15,20,20,19,28,0,22,22,19,20,20,19,19,16,22,21,9,21,22,22,20,12
2019-09-22,24,13,18,21,20,21,17,29,12,27,17,18,21,20,19,21,16,13,16,16,23,18,19,11,22,19,16,19,23,20,11,21,34,15,23,21,21,20,20,22,7,14,20,26,22,25,22,18,22,8
2019-09-29,19,25,21,15,20,22,17,20,10,19,16,16,21,23,25,25,21,12,9,20,23,20,21,24,26,23,16,24,17,18,10,20,39,17,22,21,23,25,24,22,30,14,20,24,0,21,24,21,21,19
2019-10-06,20,22,25,22,21,21,17,14,11,20,21,19,21,25,25,27,25,11,15,23,20,20,16,14,20,26,12,20,23,22,21,21,43,0,21,23,23,17,15,24,37,10,19,21,10,18,20,21,18,27
2019-10-13,18,34,19,15,19,24,15,13,11,22,8,22,21,21,18,17,23,14,18,20,23,23,18,15,24,16,15,23,12,18,21,18,43,0,22,19,23,21,14,22,23,15,19,16,19,19,23,23,22,7
2019-10-20,21,12,20,20,20,25,16,30,11,19,19,20,25,26,26,15,17,14,23,18,23,22,23,22,22,24,17,23,17,22,8,23,45,23,21,27,25,22,23,25,13,16,22,28,13,23,23,10,30,12
2019-10-27,19,16,21,20,21,25,20,17,12,22,17,18,21,24,26,27,20,25,24,21,22,20,21,23,23,16,14,24,21,19,18,22,43,6,20,13,23,25,10,29,24,14,20,27,24,21,25,31,30,28
2019-11-03,20,22,22,18,22,26,17,16,11,21,23,27,22,23,23,19,19,20,16,20,23,22,17,19,22,12,31,22,13,19,19,21,25,21,25,24,25,22,17,21,9,12,22,23,22,20,25,18,17,28
2019-11-10,23,11,24,17,21,22,13,11,10,18,20,20,25,16,17,21,19,13,27,20,23,20,21,19,24,30,13,25,17,21,11,21,20,12,22,16,18,23,3,13,12,16,20,24,24,22,22,15,27,11
2019-11-17,28,8,22,21,21,23,21,29,11,20,16,20,23,23,18,21,19,10,18,21,23,19,21,19,21,19,10,5,11,16,13,22,25,22,23,27,26,22,19,17,5,13,22,27,6,23,26,17,21,0
2019-11-24,20,14,24,22,19,21,19,20,12,20,14,18,22,18,18,17,15,11,28,22,18,21,21,12,23,13,20,25,16,22,15,24,23,15,20,25,24,26,15,20,27,13,21,36,18,26,25,17,20,17
2019-12-01,23,17,22,19,20,23,21,18,11,21,21,22,22,23,21,24,24,12,9,24,21,19,18,15,19,28,13,15,15,23,17,19,23,22,24,27,21,22,18,25,15,10,22,17,18,22,25,24,23,9
